companyName,aliases,region,country,city,legalEntity,registeredCapital,businessScope,categories,tier,lifecycleStatus,website,financingSummary,confidence,scopeStatus,discoveryRound,seeded,strongEvidenceCount,weakEvidenceCount,validationStatus,missingFields,primaryEvidenceUrl,evidenceCount
上海卓昕医疗科技有限公司,,China,CN,上海,上海卓昕医疗科技有限公司,not_checked_or_not_disclosed,国械注准20263060212; 该产品临床适用于在外科手术时提供成人X射线透视、摄影和体层图像。,,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697526051015320260310102355590,6
上海联影智能科技股份有限公司,,China,CN,上海,上海联影智能科技股份有限公司,not_checked_or_not_disclosed,国械注准20213210607; 本软件由服务器端及浏览器端构成。浏览器端由患者管理模块、图像处理模块和服务模块组成，服务器端由数据访问和存储模块、数据同步模块和基于深度学习算法的图像处理模块组成。软件通过FTP下载的方式交付。,clinical_workflow; health_management_platform; patient_engagement; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,32,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697419760002920220614032338768,32
上海镜影信息科技有限公司,,China,CN,上海,上海镜影信息科技有限公司,not_checked_or_not_disclosed,沪械注准20262210045; 结构组成：产品基于C/S架构，单机部署，由USB闪存盘和随机文件组成。产品功能模块包括：用户登录模块、电子支气管镜影像监测模块（基于深度学习）、系统管理模块、软件退出模块。 适用范围：产品与内窥镜设备联合使用，用于内窥镜操作时进行电子支气管镜影像监测（包括支气管镜检查的共31个正常位点的识别）。仅用于辅助监测，不能代替医生诊断。,clinical_workflow; remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,4,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697755044001020260417012010264,4
中山瑞福医疗器械科技有限公司,,China,CN,,,not_checked_or_not_disclosed,,chronic_disease_management,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,8,0,needs_city_verification,businessScope; city; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=ca378ffe533249bca57eb24c4317f7e3,8
内特斯医疗系统DBA艾泰克有限公司,,China,CN,,,not_checked_or_not_disclosed,,sleep_health,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,4,0,needs_city_verification,businessScope; city; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00382830027298202208310434215,4
北京品驰医疗设备股份有限公司,,China,CN,北京,北京品驰医疗设备股份有限公司,not_checked_or_not_disclosed,京械注准20252210036; 医生客户端软件 发布版本4.5,clinical_workflow; remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695980960560920250409110149243,6
医伟司安股份有限公司,,China,CN,,医伟司安股份有限公司,not_checked_or_not_disclosed,国械注进20143034996; VNC-SD-150 外周血管慢性闭塞病变导管,,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,6,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=bc1fbf9e-231d-497f-a295-00f33b8d39cd,6
华思（天津）医疗健康管理有限公司,,China,CN,,,not_checked_or_not_disclosed,,health_management_platform; remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,19,0,needs_city_verification,businessScope; city; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953104520250828052918072,19
天津怡和嘉业医疗科技有限公司,,China,CN,,,not_checked_or_not_disclosed,,sleep_health,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,32,0,needs_city_verification,businessScope; city; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=5D6A46D9CFDD2650AD9CA4CBBD7F6D20,32
天津致远慧图科技有限公司,,China,CN,,天津致远慧图科技有限公司,not_checked_or_not_disclosed,津械注准20232210046; 本产品用于对糖尿病和高血压患者的血糖、血压、胰岛素注射量以及与糖尿病、高血压相关数据的显示、传输、报告打印和统计分析，便于医护人员了解患者的治疗和康复情况。,chronic_disease_management; rehabilitation; remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,4,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,4
安徽爱视睿医疗科技有限公司,,China,CN,,安徽爱视睿医疗科技有限公司,not_checked_or_not_disclosed,皖械注准20262060065; 由X射线发生装置(包括高压发生器、X射线管组件、限束器)、X射线影像系统(包括滤线栅、结构及组成平板探测器、图像采集处理工作站、显示器、打印机(选配))、移动式C形臂支架(包括C形臂机架、可视化操作面板)和控制装置(遥控器、脚踏开关、无线脚踏开关(选配))组成，适用范围用于外科手术透视及摄影，获得影像供临床诊断用,clinical_workflow,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,8,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697892077001020260513021547627,8
山东正心医疗科技有限公司,,China,CN,,山东正心医疗科技有限公司,not_checked_or_not_disclosed,鲁械注准20222070798; 该产品是通过穿戴式心电传感器采集人体表面的心电信号，将采集后的数据存入内部存储器之中。本产品带有蓝牙功能，可实现数据的存储和传输，为医护人员的诊断提供参考。,clinical_workflow; remote_patient_monitoring,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,24,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697246767051220240530041724743,24
广州安必平医药科技股份有限公司,,China,CN,广州,广州安必平医药科技股份有限公司,not_checked_or_not_disclosed,国械注准20263210644; 数字病理图像(采用病理切片扫描仪对采用膜式液基薄层细胞学(膜式法)和沉降式液基薄层细胞学(沉降式法)制备方法制备的宫颈细胞学涂片进行扫描，形成宫颈细胞学数字病理图像)进行全片分析，对疑似病变细胞进行自动识别和标记并给出诊断提示，其结果供执业细胞学病理医师参考，阅片病理医生不应仅针对提示的疑似病变细胞进行审查，还应针对全部数字图片进行审查。该软件作为执业细胞学病理医师进行宫颈细胞学检查时的辅助诊断工具，其提示的诊断结果和标记的疑似病变细胞不能作,clinical_workflow; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694850093468220260509111140206,6
广州视景医疗软件有限公司,,China,CN,广州,,not_checked_or_not_disclosed,,digital_therapeutics; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,11,0,validated_official_product,businessScope; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697104746013020260330021851550,11
广西医准智能科技有限公司,,China,CN,,广西医准智能科技有限公司,not_checked_or_not_disclosed,桂械注准20262210022; 结构及组成 1. 物理结构组成:由安装光盘、产品说明书和用户文档集组成。逻辑结构组成:为C/S架构，服务端与客户端部署在同一台设备上。其中包括登录管理模块、检查管理模块、影像管理模块、病例管理模块、报告管理模块、用户管理模块和系统设置模块。 2.适用范围：供医疗机构使用，适用于实时颈动脉超声影像的接收、显示以及异常部位标记和处理，为临床医生提供影像处理结果，不包括自动诊断。,clinical_workflow; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,4,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549183016720260204040539443,4
成都云卫康医疗科技有限公司,,China,CN,成都,,not_checked_or_not_disclosed,,remote_patient_monitoring; samd; sleep_health,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,businessScope; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0033202403220556523,6
武汉兰丁智能医学股份有限公司,,China,CN,,武汉兰丁智能医学股份有限公司,not_checked_or_not_disclosed,鄂械注准20122221170; 由硬件和软件（分析软件发布版本 V1.2，报告软件发布版本 V1.0）两部分组成。硬件由光学显微镜、显微电动 XY 平台、工业相机（Ⅰ型包括黑白工业相机一台）、计算机组成。软件由三维自动定位调焦功能模块、图像采集与存储功能模块、图像处理功能模块、图像分析功能模块、诊断报告输出功能及远程会诊功能模块组成。,clinical_workflow; remote_patient_monitoring; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,8,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975866142710202507090242481,8
武汉市九头鸟医疗仪器开发有限公司,,China,CN,,武汉市九头鸟医疗仪器开发有限公司,not_checked_or_not_disclosed,国械注准20153091258; 治疗仪由主机、控制和显示面板、负压系统、电极导联线组成,rehabilitation,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,4,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697548329202720260418110923009,4
武汉康录生物技术股份有限公司,,China,CN,,武汉康录生物技术股份有限公司,not_checked_or_not_disclosed,鄂汉械备20180037号; 本试剂盒仅适用于慢性淋巴细胞白血病的检测，为医师提供诊断的辅助信息。,clinical_workflow,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,6,0,needs_city_verification,city; financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=2d77c6be-9155-4945-b0c5-22e9056a52ac,6
江西思维智光医疗科技有限公司,,China,CN,,,not_checked_or_not_disclosed,,mental_health,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,31,0,needs_city_verification,businessScope; city; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069799554101862026041703374918,31
济民健康管理股份有限公司,,China,CN,,,not_checked_or_not_disclosed,,health_management_platform,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,needs_city_verification,round1,no,15,0,needs_city_verification,businessScope; city; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=1f088f9d-ff2a-495e-b20b-6004c2213d40,15
深圳京柏医疗科技股份有限公司,,China,CN,深圳,深圳京柏医疗科技股份有限公司,not_checked_or_not_disclosed,粤械注准20252090764; 适用于产妇催乳治疗，促进产后排尿、子宫复旧、产后恢复。对患者盆底肌表面肌电信号进行采集、分析、评估，通过神经肌肉电刺激和生物反馈进行盆底功能障碍的辅助治疗。适用于产后盆底功能康复，尿失禁(含产后压力性尿失禁)，轻度盆腔器官膨出和脱垂的辅助治疗，慢性盆腔疼痛的缓解，辅助改善盆底肌松弛，辅助治疗阴道松弛。,rehabilitation,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,financing; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695174055061120260430020307433,6
深圳市亚辉龙生物科技股份有限公司,,China,CN,深圳,,not_checked_or_not_disclosed,,chronic_disease_management,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,4,0,validated_official_product,businessScope; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=1f59cb8b-b489-41ac-8ddf-c5f2d5198b24,4
深圳市伯劳特生物制品有限公司,,China,CN,深圳,,not_checked_or_not_disclosed,,chronic_disease_management,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,4,0,validated_official_product,businessScope; financing; legalEntity; registeredCapital; website,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694076750016720240529031730243,4
